Box,Last Name,First Name,Series Title/Book Title,Series #,Book Title,
42,Aarons,Edwards S.,Assignment,,Treason,
42,Aarons,Edwards S.,Assignment,,Carlotta Cortez,
42,Aarons,Edwards S.,Assignment,,Solu Sea,
42,Aarons,Edwards S.,Assignment,,Madeleine,
42,Aarons,Edwards S.,Assignment,,Black Viking,
42,Aarons,Edwards S.,Assignment,,The Girl in the Gondola,
42,Aarons,Edwards S.,Assignment,,To Disaster,
42,Aarons,Edwards S.,Assignment,,Angelina,
42,Aarons,Edwards S.,Assignment,,Helene,
42,Aarons,Edwards S.,Assignment,,Helene,
42,Aarons,Edwards S.,Assignment,,Quayle Question,
42,Aarons,Edwards S.,Assignment,,Peking,
42,Aarons,Edwards S.,Assignment,,Stella Marni,
42,Aarons,Edwards S.,Assignment,,Tokyo,
42,Aarons,Edwards S.,Assignment,,Ceylon,
42,Aarons,Edwards S.,Assignment,,Lili Lamaris,
42,Aarons,Edwards S.,Assignment,,Zoraya,
42,Aarons,Edwards S.,Assignment,,School for Spies,
42,Aarons,Edwards S.,Assignment,,Cong Hai Kill,
42,Aarons,Edwards S.,Assignment,,Palermo,
42,Aarons,Edwards S.,Assignment,,Mara Tirana,
42,Aarons,Edwards S.,Assignment,,Ankara,
42,Aarons,Edwards S.,Assignment,,Unicorn,
42,Aarons,Edwards S.,Assignment,,Amazon Queen,
42,Aarons,Edwards S.,Assignment,,Manchurian Doll,
42,Aarons,Edwards S.,Assignment,,Ankara,
42,Aarons,Edwards S.,Assignment,,Ceylon,
42,Aarons,Edwards S.,Assignment,,Silver Scorpion,
42,Aarons,Edwards S.,Assignment,,Gift of Death,
42,Aarons,Edwards S.,Assignment,,Budapest,
42,Aarons,Edwards S.,Assignment,,Lowlands,
42,Aarons,Edwards S.,Assignment,,Carlotta Cortez,
42,Aarons,Edwards S.,Assignment,,Golden Girl,
42,Aarons,Edwards S.,Assignment,,Suicide,
42,Aarons,Edwards S.,Assignment,,White Rajah,
42,Aarons,Edwards S.,Assignment,,Karachi,
42,Aarons,Edwards S.,Assignment,,Karachi,
42,Aarons,Edwards S.,Assignment,,Sheba,
42,Aarons,Edwards S.,Assignment,,Catspaw Ordeal,
42,Aarons,Edwards S.,Assignment,,Sorrento Siren,
42,Aarons,Edwards S.,Assignment,,Nuclear Nude,
42,Aarons,Edwards S.,Assignment,,Bangkok,
42,Aarons,Edwards S.,Assignment,,The Girl in the Gondola,
42,Aarons,Edwards S.,Assignment,,Maltese Maiden,
42,Aarons,Edwards S.,Assignment,,Star Stealers,
42,Aarons,Edwards S.,Assignment,,Unicorn,
42,Aarons,Edwards S.,Assignment,,Silver Scorpion,
42,Aarons,Edwards S.,Assignment,,Zoraya,
42,Aarons,Edwards S.,Assignment,,Afghan Dragon,
42,Aarons,Edwards S.,Assignment,,Moon Girl,
42,Aarons,Edwards S.,Assignment,,The Cairo Dancers,
42,Aarons,Edwards S.,Assignment,,The Cairo Dancers,
42,Aarons,Edwards S.,Assignment,,Burma Girl,
42,Aarons,Edwards S.,Assignment,,Black Gold,
42,Aarons,Edwards S.,Assignment,,Peking,
42,Aarons,Edwards S.,Assignment,,Afghan Dragon,
42,Aarons,Edwards S.,Assignment,,Angelina,
43,Aarons,Will B.,Assignment Sheba,,,
43,Adams,Douglas,The Hitch Hiker'S Guide To The Galaxy,,,
43,Adams,Douglas,The Man From Planet X,2,Tiger By The Tail,
43,Adlard,Mark,Multiface,,,
43,Adler,Allen,Terror On Planet Ionus,,,
43,Adler,Allen,Terror On Planet Ionus,,,
43,Agniel,Lucien,"Code Name: ""Icy""",,,
42,Akers,Alan Burt,Renegade Of Kregen,,,
42,Akers,Alan Burt,Krozair Of Kregen,,,
42,Akers,Alan Burt,The Tides Of Kregen,,,
42,Akers,Alan Burt,Avenger Of Antares,,,
42,Akers,Alan Burt,Warrior Of Scorpio,,,
42,Akers,Alan Burt,Manhounds Of Antares,,,
42,Akers,Alan Burt,Manhounds Of Antares,,,
42,Akers,Alan Burt,Bladesman Of Antares,,,
42,Akers,Alan Burt,Fliers Of Antares,,,
42,Akers,Alan Burt,Armada Of Antares,,,
42,Akers,Alan Burt,Arena Of Antares,,,
42,Akers,Alan Burt,Golden Scorpio,,,
42,Akers,Alan Burt,Savage Scorpio,,,
42,Akers,Alan Burt,Swordships Of Scorpio,,,
42,Akers,Alan Burt,Prince Of Scorpio,,,
42,Akers,Alan Burt,Swordships Of Scorpio,,,
42,Akers,Alan Burt,Transit To Scorpio,,,
42,Akers,Alan Burt,Captive Scorpio,,,
42,Akers,Alan Burt,Secret Scorpio,,,
42,Akers,Alan Burt,The Suns Of Scorpio,,,
42,Akers,Alan Burt,Transit To Scorpio,,,
42,Akers,Alan Burt,The Suns Of Scorpio,,,
43,Alban,Antony,Catharsis Central,,,
43,Alban,Antony,The Day Of The Shield,,,
43,Albert,Marvin H.,What'S New Pussycat?,,,
42,Aldiss,Brian,The Eighty Minute Hour,,,
42,Aldiss,Brian,Greybeard,,,
42,Aldiss,Brian,Yet More Penguin Science Fiction,,,
42,Aldiss,Brian,Cryptozoic!,,,
42,Aldiss,Brian,Neandethal Planet,,,
42,Aldiss,Brian,Starship,,,
42,Aldiss,Brian,The Interpreter,,,
42,Aldiss,Brian,The Long Afternoon Of Earth,,,
42,Aldiss,Brian,The Book Of Brian Aldiss,,,
42,Aldiss,Brian,The Moment Of Eclipse,,,
42,Aldiss,Brian,Barefoot In The Head,,,
42,Aldiss,Brian,Bow Down To Nul,,,
42,Aldiss,Brian,The Malacia Tapestry,,,
42,Aldiss,Brian,All About Venus,,,
42,Aldiss,Brian,Hothouse,,,
42,Aldiss,Brian,Earthworks,,,
42,Aldiss,Brian,Starswarm,,,
42,Aldiss,Brian,More Penguin Science Fiction,,,
42,Aldiss,Brian,All About Venus,,,
42,Aldiss,Brian,The Eighty Minute Hour,,,
42,Aldiss,Brian,Starswarm,,,
42,Aldiss,Brian,Penguin Science Fiction,,,
42,Aldiss,Brian,Earthworks,,,
42,Aldiss,Brian,Galactic Empires 1,,,
42,Aldiss,Brian,The Canopy Of Time,,,
42,Aldiss,Brian,No Time Like Tomorrow,,,
42,Aldiss,Brian,Galaxies Like Grains Of Sand,,,
42,Aldiss,Brian,The Dark Light-Years,,,
43,Alexander,Jan,Blood Moon,,,
43,Alexander,Lloyd,The Black Cauldron,,,
43,Alexander,Lloyd,The Castle Of Llyr,,,
43,Alexander,Lloyd,The High King,,,
43,Allen,Betsy,The Clue In Blue,,,
43,Allen,Henry Wilson,Genesis Five,,,
S4,Allen,Roger Macbride,Star Wars,,Showdown At Centerpoint,
43,Allingham,Margery,The Mind Readers ,,,
43,Allison,Clyde,The Desdamona Affair,,,
43,Ambler,Eric,The Dark Frontier,,,
43,Ambler,Eric,The Mask Of Dimitrios,,,
43,Ambler,Eric,Cause For Alarm,,,
43,Ambler,Eric,Epitaph For A Spy,,,
43,Ambler,Eric,Passage Of Arms,,,
43,Ambler,Eric,Epitaph For A Spy,,,
43,Ambler,Eric,Judgment On Deltchev,,,
43,Ambler,Eric,Background To Danger,,,
43,Ambler,Eric,Judgment On Deltchev,,,
43,Ambler,Eric,The Levanter,,,
43,Amis,Kingsley,Spectrum V,,,
43,Anderson,Chester,Ten Years To Doomsday,,,
43,Anderson,Chester,The Butterfly Kid,,,
S4,Anderson,Kevin J.,Star Wars,,Tales From Jabba's Palace,
42,Anderson,Poul,The Enemy Stars,,,
42,Anderson,Poul,Mirkheim,,,
42,Anderson,Poul,7 Conquests,,,
42,Anderson,Poul,The Broken Sword,,,
42,Anderson,Poul,Three Hearts and Three Lions,,,
42,Anderson,Poul,The Corridors of Time,,,
42,Anderson,Poul,Satan's World,,,
42,Anderson,Poul,There Will be Time,,,
42,Anderson,Poul,The Makeshift Rocket,,,
42,Anderson,Poul,The book of Poul Anderson,,,
42,Anderson,Poul,Orbit Unlimited,,,
42,Anderson,Poul,The People of the Wind,,,
42,Anderson,Poul,The People of the Wind,,,
42,Anderson,Poul,Star Ways,,,
42,Anderson,Poul,War of the Wing-Men,,,
42,Anderson,Poul,Vault of the Ages,,,
42,Anderson,Poul,War of the Wing-Men,,,
42,Anderson,Poul,Beyond the Beyond,,,
42,Anderson,Poul,The Avatar,,,
42,Anderson,Poul,The Worlds of Poul Anderson,,,
42,Anderson,Poul,The Byworlder,,,
42,Anderson,Poul,Hoka,,,
42,Anderson,Poul,Virgin Planet,,,
42,Anderson,Poul,Earthman's burden,,,
42,Anderson,Poul,the Book of Poul Anderson,,,
42,Anderson,Poul,Guardians of Time,,,
42,Anderson,Poul,The Rebel Worlds,,,
42,Anderson,Poul,The Corridors of Time,,,
42,Anderson,Poul,World Without Stars,,,
42,Anderson,Poul,Beyond the Beyond,,,
42,Anderson,Poul,Shield,,,
42,Anderson,Poul,Shield,,,
42,Anderson,Poul,the Horn of Time,,,
42,Anderson,Poul,The Earth Book of Stormgate,,,
42,Anderson,Poul,We Claim These Stars,,,
42,Anderson,Poul,Earthman's burden,,,
42,Anderson,Poul,We Claim These Stars,,,
42,Anderson,Poul,Fire Time,,,
42,Anderson,Poul,The Rebel Worlds,,,
42,Anderson,Poul,The high Crusade,,,
42,Anderson,Poul,Three Worlds to Conquer,,,
42,Anderson,Poul,the Horn of Time,,,
42,Anderson,Poul,Ensign Flandry,,,
42,Anderson,Poul,the Book of Poul Anderson,,,
42,Anderson,Poul,Flandry of terra,,,
42,Anderson,Poul,The Demon of Scattery,,,
42,Anderson,Poul,Three Hearts and Three Lions,,,
42,Anderson,Poul,Virgin Planet,,,
42,Anderson,Poul,After Doomsday,,,
42,Anderson,Poul,Time and Stars,,,
42,Anderson,Poul,The high Crusade,,,
42,Anderson,Poul,The Merman's Children,,,
42,Anderson,Poul,the Dancer From Atlantis,,,
42,Anderson,Poul,The Star Fox,,,
42,Anderson,Poul,Ensign Flandry,,,
42,Anderson,Poul,The People of the Wind,,,
42,Anderson,Poul,Tau Zero,,,
42,Anderson,Poul,Ensign Flandry,,,
42,Anderson,Poul,The Night Face,,,
42,Anderson,Poul,The Broken Sword,,,
42,Anderson,Poul,Brain Wave,,,
42,Anderson,Poul,The Unicorn Trade,,,
42,Anderson,Poul,A Circus of Hells,,,
42,Anderson,Poul,Mirkheim,,,
S4,Anderson,Poul,Conan,,The Rebel,
43,Anderson,William C.,Penelope,,,
43,Anobile,Richard J.,Star Trek II: The Wrath of Khan,,,
43,Antonio,San,The Strangler,,,
43,Antonio,San,Crooks' Hill,,,
43,Antonio,San,The Hatchet Man,,,
43,Antonio,San,The Strangler,,,
43,Antonio,San,Tough Justice,,,
43,Antonio,San,Tough Justice,,,
43,Anvil,Christopher,Pandora'S Planet,,,
43,Anvil,Christopher,Pandora'S Planet,,,
43,Anvil,Christopher,Warlord'S World,,,
43,Anvil,Christopher,Strangers In Paradise,,,
43,Appel,Benjamin,The Death Master,,,
43,Appleton II,Tom,Tom Swift,2,And The City of Gold,
43,Appleton II,Tom,Tom Swift,1,In The Jungle of the Mayas,
43,Appleton II,Victor,Tom Swift And His Rocket Ship,,,
43,Archer,Frank,The Turquoise Spike,,,
43,Arnam,Dave Van,Lord Of Blood,,,
43,Arnam,Dave Van,Wizard Of Storms,,,
43,Arnam,Dave Van,Starmind,,,
43,Arnam,Dave Van,Starmind,,,
43,Arnold,Edwin L.,Gulliver Of Mars,,,
43,Arnold,Edwin L.,Gulliver Of Mars,,,
43,Arrow,William,Return To The Planet Of The Apes 2,,,
43,Ashby,Richard,Act Of God,,,
43,Ashby,Richard,Act Of God,,,
43,Asprin,Robert Lynn,Another Fine Myth,,,
43,Asprin,Robert Lynn,The Bug Wars,,,
43,Asprin,Robert Lynn,Tales From The Vulgar Unicorn,,,
42,Atlee,Philip,The Death Bird Contract,,,
42,Atlee,Philip,The Fer-De-Lance Contract,,,
42,Atlee,Philip,The Skeleton Coast Contract,,,
42,Atlee,Philip,The Paper Pistol Contract,,,
42,Atlee,Philip,The Black Venus Contract,,,
42,Atlee,Philip,The Star Ruby Contract,,,
42,Atlee,Philip,The Ill Wind Contract,,,
42,Atlee,Philip,The Silken Baroness Contract,,,
42,Atlee,Philip,The Green Wound Contract,,,
42,Atlee,Philip,The Rockabye Contract,,,
42,Atlee,Philip,The Death Bird Contract,,,
42,Atlee,Philip,The Death Bird Contract,,,
42,Atlee,Philip,The Judah Lion Contract,,,
42,Atlee,Philip,The White Wolverine Contract,,,
42,Atlee,Philip,The Irish Beauty Contract,,,
42,Atlee,Philip,The Irish Beauty Contract,,,
42,Atlee,Philip,The Kiwi Contract,,,
42,Atlee,Philip,The Underground Cities Contract,,,
42,Atlee,Philip,The Last Domino Contract,,,
42,Atlee,Philip,The Fer-De-Lance Contract,,,
42,Atlee,Philip,The Shankill Road Contract,,,
42,Atlee,Philip,The Black Venus Contract,,,
42,Atlee,Philip,The Kowloon Contract,,,
42,Atlee,Philip,The Spice Route Contract,,,
42,Atlee,Philip,The Judah Lion Contract,,,
42,Atlee,Philip,The Spice Route Contract,,,
42,Atlee,Philip,The Spice Route Contract,,,
42,Atlee,Philip,The Skeleton Coast Contract,,,
42,Atlee,Philip,The Canadian Bomber Contract,,,
43,Avallone,Michael,The Satan Sleuth,3,"Devil, Devil",
43,Avallone,Michael,The Satan Sleuth,1,Fallen Angel,
43,Avallone,Michael,Hawaii Five-O,,,
43,Avallone,Michael,The Satan Sleuth,2,The Werewolf Walks Tonight,
43,Avallone,Michael,Hawaii Five-O,,Terror in the Sun,
43,Avallone,Michael,Beneath The Planet Of The Apes,,,
S4,Avallone,Michael,The Girl From U.N.C.L.E.,1,,
S4,Avallone,Michael,The Girl From U.N.C.L.E.,2,The Blazing Affair,
S4,Avallone,Michael,The Man From U.N.C.L.E.,1,,
S4,Avallone,Michael,The Man From U.N.C.L.E.,1,,
S4,Avallone,Michael,The Man From U.N.C.L.E.,1,,
43,Avery,Richard,The Expendables - Zelos,,,
43,Aylesworth,John,"Fee, Fei, Fo, Fum",,,
40,Bagley,Desmond,The Snow Tiger,,,
40,Bahnson Jr.,Agnew H.,The Stars are too High,,,
40,Baker,W. Howard,Departure Deferred,,,
40,Balchin,Nigel,Kings of Infinite Space,,,
40,Baldwin,Faith,The Heart Remembers,,,
40,Baldwin,Faith,"Rich Girl, Poor Girl",,,
41,Ball,Brian N.,Timepiece,,,
41,Ball,Brian N.,Planet Probability,,,
41,Ball,Brian N.,The Probability Man,,,
41,Ball,Brian N.,Timepivot,,,
41,Ball,Brian N.,Timepivot,,,
41,Ball,Brian N.,Sundog,,,
41,Ball,Brian N.,Sundog,,,
41,Ball,Brian N.,Timepiece,,,
41,Ball,Brian N.,Singularity Station,,,
41,Ball,Brian N.,Singularity Station,,,
41,Ball,Brian N.,The Regiments of Night,,,
40,Ballard,J.G.,The Crystal World,,,
40,Ballard,J.G.,The Wind From Nowhere,,,150
40,Ballard,J.G.,The Terminal Beach,,,
40,Ballard,J.G.,The Day of Forever,,,
40,Ballard,J.G.,The Impossible Man,,,
40,Ballard,J.G.,The Downed World,,,
40,Ballard,J.G.,The Downed World,,,
40,Ballard,J.G.,Billenium,,,73
40,Ballard,J.G.,Chronopolis,,,
40,Ballard,J.G.,Chronopolis,,,
40,Bamber,George,The Sea IS Boiling Hot,,,
40,Banister,Manly,Conquest of Earth,,,
41,Barbet,Pierre,Games Psyborgs Play,,,
41,Barbet,Pierre,Baphomet's Meteor,,,
41,Barbet,Pierre,The Napoleons of Eridanus,,,
41,Barbet,Pierre,The Napoleons of Eridanus,,,
41,Barbet,Pierre,The Napoleons of Eridanus,,,
41,Barbet,Pierre,The Joan-Of-Arc Replay,,,
41,Barbet,Pierre,The Enchanted Planet,,,
