Box,Last Name,First Name,Series Title/Book Title,Series #,Book Title,Price 1,Price 2,Avg Price,Search Result
42,Aarons,Edwards S.,Assignment,,Treason,4.05,4.06,9.872666667,
42,Aarons,Edwards S.,Assignment,,Carlotta Cortez,4.09,4.1,5.604,
42,Aarons,Edwards S.,Assignment,,Solu Sea,,,,No Result
42,Aarons,Edwards S.,Assignment,,Madeleine,4.5,1,7.075333333,
42,Aarons,Edwards S.,Assignment,,Black Viking,1,1.5,7.190333333,
42,Aarons,Edwards S.,Assignment,,The Girl in the Gondola,3.59,1,6.450666667,
42,Aarons,Edwards S.,Assignment,,To Disaster,4.31,6.48,22.27233333,
42,Aarons,Edwards S.,Assignment,,Angelina,4.05,4.37,5.354666667,
42,Aarons,Edwards S.,Assignment,,Helene,20,38.51,7.207333333,
42,Aarons,Edwards S.,Assignment,,Helene,20,38.51,7.207333333,
42,Aarons,Edwards S.,Assignment,,Quayle Question,1,1.99,6.212333333,
42,Aarons,Edwards S.,Assignment,,Peking,1,2,19.009,
42,Aarons,Edwards S.,Assignment,,Stella Marni,1,1.5,6.720666667,
42,Aarons,Edwards S.,Assignment,,Tokyo,4.09,4.13,12.6884,
42,Aarons,Edwards S.,Assignment,,Ceylon,3.65,4.05,11.49766667,
42,Aarons,Edwards S.,Assignment,,Lili Lamaris,5.03,1.25,7.662333333,
42,Aarons,Edwards S.,Assignment,,Zoraya,4.05,4.14,5.087333333,
42,Aarons,Edwards S.,Assignment,,School for Spies,1.5,2.29,6.934,
42,Aarons,Edwards S.,Assignment,,Cong Hai Kill,1,1.5,5.552333333,
42,Aarons,Edwards S.,Assignment,,Palermo,1,2,11.662,
42,Aarons,Edwards S.,Assignment,,Mara Tirana,20,1,5.740666667,
42,Aarons,Edwards S.,Assignment,,Ankara,2,3,7.095333333,
42,Aarons,Edwards S.,Assignment,,Unicorn,3.64,4.05,8.523666667,
42,Aarons,Edwards S.,Assignment,,Amazon Queen,4.05,3.49,5.355333333,
42,Aarons,Edwards S.,Assignment,,Manchurian Doll,1.5,1,5.781666667,
42,Aarons,Edwards S.,Assignment,,Ankara,2,3,7.095333333,
42,Aarons,Edwards S.,Assignment,,Ceylon,3.65,4.05,11.49766667,
42,Aarons,Edwards S.,Assignment,,Silver Scorpion,4.77,4.78,8.772666667,
42,Aarons,Edwards S.,Assignment,,Gift of Death,1.58,2.5,24.21545455,
42,Aarons,Edwards S.,Assignment,,Budapest,3.24,3.6,4.781666667,
42,Aarons,Edwards S.,Assignment,,Lowlands,4.53,4.53,3.999666667,
42,Aarons,Edwards S.,Assignment,,Carlotta Cortez,4.09,4.1,5.604,
42,Aarons,Edwards S.,Assignment,,Golden Girl,1.5,4.74,8.647,
42,Aarons,Edwards S.,Assignment,,Suicide,2.29,6,13.56033333,
42,Aarons,Edwards S.,Assignment,,White Rajah,3.67,3.67,8.404,
42,Aarons,Edwards S.,Assignment,,Karachi,1.99,6,5.264,
42,Aarons,Edwards S.,Assignment,,Karachi,1.99,6,5.264,
42,Aarons,Edwards S.,Assignment,,Sheba,3.5,,3.5,
42,Aarons,Edwards S.,Assignment,,Catspaw Ordeal,2,3,7.216538462,
42,Aarons,Edwards S.,Assignment,,Sorrento Siren,2.29,2,5.456,
42,Aarons,Edwards S.,Assignment,,Nuclear Nude,6.14,2,8.583,
42,Aarons,Edwards S.,Assignment,,Bangkok,1.67,2,12.111,
42,Aarons,Edwards S.,Assignment,,The Girl in the Gondola,3.59,1,6.450666667,
42,Aarons,Edwards S.,Assignment,,Maltese Maiden,4.37,4.5,12.07666667,
42,Aarons,Edwards S.,Assignment,,Star Stealers,6.11,3.68,3.504,
42,Aarons,Edwards S.,Assignment,,Unicorn,3.64,4.05,8.523666667,
42,Aarons,Edwards S.,Assignment,,Silver Scorpion,4.77,4.78,8.772666667,
42,Aarons,Edwards S.,Assignment,,Zoraya,4.05,4.14,5.087333333,
42,Aarons,Edwards S.,Assignment,,Afghan Dragon,4.08,4.08,7.949,
42,Aarons,Edwards S.,Assignment,,Moon Girl,4.05,2.5,6.360666667,
42,Aarons,Edwards S.,Assignment,,The Cairo Dancers,6.5,2.95,12.527,
42,Aarons,Edwards S.,Assignment,,The Cairo Dancers,6.5,2.95,12.527,
42,Aarons,Edwards S.,Assignment,,Burma Girl,1,4.37,4.873333333,
42,Aarons,Edwards S.,Assignment,,Black Gold,1.5,2,12.13733333,
42,Aarons,Edwards S.,Assignment,,Peking,1,2,19.009,
42,Aarons,Edwards S.,Assignment,,Afghan Dragon,4.08,4.08,7.949,
42,Aarons,Edwards S.,Assignment,,Angelina,4.05,4.37,5.354666667,
43,Aarons,Will B.,Assignment Sheba,,,2,10,23.25263158,
43,Adams,Douglas,The Hitch Hiker'S Guide To The Galaxy,,,4.04,4.04,4.190666667,
43,Adams,Douglas,The Man From Planet X,2,Tiger By The Tail,,,,No Result
43,Adlard,Mark,Multiface,,,2.85,3.83,8.022333333,
43,Adler,Allen,Terror On Planet Ionus,,,4.05,1.5,7.997666667,
43,Adler,Allen,Terror On Planet Ionus,,,4.05,1.5,7.997666667,
43,Agniel,Lucien,"Code Name: ""Icy""",,,1.99,1.5,7.858888889,
42,Akers,Alan Burt,Renegade Of Kregen,,,4.49,4.51,11.434,
42,Akers,Alan Burt,Krozair Of Kregen,,,3,5,13.14266667,
42,Akers,Alan Burt,The Tides Of Kregen,,,5.32,5.7,17.54866667,
42,Akers,Alan Burt,Avenger Of Antares,,,3.5,7.5,18.915,
42,Akers,Alan Burt,Warrior Of Scorpio,,,5,2,5.641,
42,Akers,Alan Burt,Manhounds Of Antares,,,3.5,3,20.51966667,
42,Akers,Alan Burt,Manhounds Of Antares,,,3.5,3,20.51966667,
42,Akers,Alan Burt,Bladesman Of Antares,,,4.03,4.47,13.76466667,
42,Akers,Alan Burt,Fliers Of Antares,,,2.89,3.5,8.085333333,
42,Akers,Alan Burt,Armada Of Antares,,,6.71,7,11.334,
42,Akers,Alan Burt,Arena Of Antares,,,3,3.5,19.62,
42,Akers,Alan Burt,Golden Scorpio,,,2,3.95,19.10166667,
42,Akers,Alan Burt,Savage Scorpio,,,1,7.5,11.78631579,
42,Akers,Alan Burt,Swordships Of Scorpio,,,5.69,6.14,8.744,
42,Akers,Alan Burt,Prince Of Scorpio,,,3.5,7.98,7.287666667,
42,Akers,Alan Burt,Swordships Of Scorpio,,,5.69,6.14,8.744,
42,Akers,Alan Burt,Transit To Scorpio,,,1.75,2.96,9.019666667,
42,Akers,Alan Burt,Captive Scorpio,,,5.68,8.99,22.405,
42,Akers,Alan Burt,Secret Scorpio,,,1.26,5,12.771,
42,Akers,Alan Burt,The Suns Of Scorpio,,,1.75,5.04,5.947333333,
42,Akers,Alan Burt,Transit To Scorpio,,,1.75,2.96,9.019666667,
42,Akers,Alan Burt,The Suns Of Scorpio,,,1.75,5.04,5.947333333,
43,Alban,Antony,Catharsis Central,,,1.5,3.95,9.240666667,
43,Alban,Antony,The Day Of The Shield,,,5.14,2.94,6.654444444,
43,Albert,Marvin H.,What'S New Pussycat?,,,3.73,3.73,7.455666667,
42,Aldiss,Brian,The Eighty Minute Hour,,,3.25,3.25,6.354,
42,Aldiss,Brian,Greybeard,,,4.09,4.14,6.806,
42,Aldiss,Brian,Yet More Penguin Science Fiction,,,5.35,5.42,8.018965517,
42,Aldiss,Brian,Cryptozoic!,,,1.36,3.72,6.903666667,
42,Aldiss,Brian,Neandethal Planet,,,,,,No Result
42,Aldiss,Brian,Starship,,,2.5,7,13.85033333,
42,Aldiss,Brian,The Interpreter,,,1,5.37,3.327333333,
42,Aldiss,Brian,The Long Afternoon Of Earth,,,1,1.85,8.988333333,
42,Aldiss,Brian,The Book Of Brian Aldiss,,,1.25,4.5,7.083333333,
42,Aldiss,Brian,The Moment Of Eclipse,,,2.65,3.35,57.794,
42,Aldiss,Brian,Barefoot In The Head,,,5.52,7.43,16.49133333,
42,Aldiss,Brian,Bow Down To Nul,,,4.79,5.99,6.211,
42,Aldiss,Brian,The Malacia Tapestry,,,1,4.1,3.149666667,
42,Aldiss,Brian,All About Venus,,,3,3,6.735714286,
42,Aldiss,Brian,Hothouse,,,1.39,2,17.563,
42,Aldiss,Brian,Earthworks,,,1.65,4.97,5.164666667,
42,Aldiss,Brian,Starswarm,,,1,4.05,2.991666667,
42,Aldiss,Brian,More Penguin Science Fiction,,,5,4.02,5.949666667,
42,Aldiss,Brian,All About Venus,,,3,3,6.735714286,
42,Aldiss,Brian,The Eighty Minute Hour,,,3.25,3.25,6.354,
42,Aldiss,Brian,Starswarm,,,1,4.05,2.991666667,
42,Aldiss,Brian,Penguin Science Fiction,,,6,5.35,5.746333333,
42,Aldiss,Brian,Earthworks,,,1.65,4.97,5.164666667,
42,Aldiss,Brian,Galactic Empires 1,,,3.95,5.29,16.93566667,
42,Aldiss,Brian,The Canopy Of Time,,,4.64,1,12.23566667,
42,Aldiss,Brian,No Time Like Tomorrow,,,2,2.48,7.910666667,
42,Aldiss,Brian,Galaxies Like Grains Of Sand,,,4.09,1.83,3.006333333,
42,Aldiss,Brian,The Dark Light-Years,,,1.45,6,5.058,
43,Alexander,Jan,Blood Moon,,,51,,51,
43,Alexander,Lloyd,The Black Cauldron,,,1.65,1.65,3.89,
43,Alexander,Lloyd,The Castle Of Llyr,,,3.24,3.24,3.831666667,
43,Alexander,Lloyd,The High King,,,3.64,1,3.934666667,
43,Allen,Betsy,The Clue In Blue,,,2.05,5,10.024,
43,Allen,Henry Wilson,Genesis Five,,,3.59,3.59,11.53344828,
S4,Allen,Roger Macbride,Star Wars,,Showdown At Centerpoint,4.05,4.05,5.563333333,
43,Allingham,Margery,The Mind Readers ,,,3.64,4.04,3.804666667,
43,Allison,Clyde,The Desdamona Affair,,,99.99,102.5,119.81125,
43,Ambler,Eric,The Dark Frontier,,,4.04,4.04,4.157,
43,Ambler,Eric,The Mask Of Dimitrios,,,1.36,5.26,4.556666667,
43,Ambler,Eric,Cause For Alarm,,,4.5,4.5,4.859,
43,Ambler,Eric,Epitaph For A Spy,,,4.05,4.05,3.46,
43,Ambler,Eric,Passage Of Arms,,,1,4.08,2.976,
43,Ambler,Eric,Epitaph For A Spy,,,4.05,4.05,3.46,
43,Ambler,Eric,Judgment On Deltchev,,,3.64,4.05,3.949333333,
43,Ambler,Eric,Background To Danger,,,3.65,4.2,4.398,
43,Ambler,Eric,Judgment On Deltchev,,,3.64,4.05,3.949333333,
43,Ambler,Eric,The Levanter,,,3.59,1,3.663,
43,Amis,Kingsley,Spectrum V,,,17,12.72,9.170666667,
43,Anderson,Chester,Ten Years To Doomsday,,,2.19,3.5,5.891,
43,Anderson,Chester,The Butterfly Kid,,,42.99,40,124.835,
S4,Anderson,Kevin J.,Star Wars,,Tales From Jabba's Palace,4.05,4.05,15.51633333,
42,Anderson,Poul,The Enemy Stars,,,3.99,4,3.330333333,
42,Anderson,Poul,Mirkheim,,,4.09,4.46,3.311333333,
42,Anderson,Poul,7 Conquests,,,1,1.75,9.289333333,
42,Anderson,Poul,The Broken Sword,,,4.9,4.9,6.274666667,
42,Anderson,Poul,Three Hearts and Three Lions,,,5.51,1,5.683,
42,Anderson,Poul,The Corridors of Time,,,1,1.65,3.11,
42,Anderson,Poul,Satan's World,,,1,4.09,3.519,
42,Anderson,Poul,There Will be Time,,,4.05,4.05,4.335333333,
42,Anderson,Poul,The Makeshift Rocket,,,2.31,1.36,24.37766667,
42,Anderson,Poul,The book of Poul Anderson,,,5.95,1.98,7.607666667,
42,Anderson,Poul,Orbit Unlimited,,,4,4.05,3.375,
42,Anderson,Poul,The People of the Wind,,,1,1.75,3.758,
42,Anderson,Poul,The People of the Wind,,,1,1.75,3.758,
42,Anderson,Poul,Star Ways,,,2.45,2.75,127.75,
42,Anderson,Poul,War of the Wing-Men,,,1,1.25,3.966,
42,Anderson,Poul,Vault of the Ages,,,3.65,4.06,4.974333333,
42,Anderson,Poul,War of the Wing-Men,,,1,1.25,3.966,
42,Anderson,Poul,Beyond the Beyond,,,4.14,1.5,3.469666667,
42,Anderson,Poul,The Avatar,,,3.64,1,3.398333333,
42,Anderson,Poul,The Worlds of Poul Anderson,,,4.32,4.99,17.23533333,
42,Anderson,Poul,The Byworlder,,,4.5,1,4.39,
42,Anderson,Poul,Hoka,,,3,4,23.39066667,
42,Anderson,Poul,Virgin Planet,,,1.5,1.5,4.056,
42,Anderson,Poul,Earthman's burden,,,4,15,24.27933333,
42,Anderson,Poul,the Book of Poul Anderson,,,5.95,1.98,7.607666667,
42,Anderson,Poul,Guardians of Time,,,1,4.07,3.243,
42,Anderson,Poul,The Rebel Worlds,,,1,1,4.281333333,
42,Anderson,Poul,The Corridors of Time,,,1,1.65,3.11,
42,Anderson,Poul,World Without Stars,,,4.17,4.17,4.266333333,
42,Anderson,Poul,Beyond the Beyond,,,4.14,1.5,3.469666667,
42,Anderson,Poul,Shield,,,3.64,1,3.939333333,
42,Anderson,Poul,Shield,,,3.64,1,3.939333333,
42,Anderson,Poul,the Horn of Time,,,1,1,4.354,
42,Anderson,Poul,The Earth Book of Stormgate,,,3.64,3.64,3.437666667,
42,Anderson,Poul,We Claim These Stars,,,5.66,1.98,11.03833333,
42,Anderson,Poul,Earthman's burden,,,4,15,24.27933333,
42,Anderson,Poul,We Claim These Stars,,,5.66,1.98,11.03833333,
42,Anderson,Poul,Fire Time,,,3.6,1,3.567333333,
42,Anderson,Poul,The Rebel Worlds,,,1,1,4.281333333,
42,Anderson,Poul,The high Crusade,,,4.98,5.53,5.625333333,
42,Anderson,Poul,Three Worlds to Conquer,,,3.59,3.59,3.608333333,
42,Anderson,Poul,the Horn of Time,,,1,1,4.354,
42,Anderson,Poul,Ensign Flandry,,,3.65,1,4.043666667,
42,Anderson,Poul,the Book of Poul Anderson,,,5.95,1.98,7.607666667,
42,Anderson,Poul,Flandry of terra,,,3.58,3.59,4.709666667,
42,Anderson,Poul,The Demon of Scattery,,,1,1,9.800666667,
42,Anderson,Poul,Three Hearts and Three Lions,,,5.51,1,5.683,
42,Anderson,Poul,Virgin Planet,,,1.5,1.5,4.056,
42,Anderson,Poul,After Doomsday,,,4.02,4.03,4.131666667,
42,Anderson,Poul,Time and Stars,,,3.64,3.64,3.676666667,
42,Anderson,Poul,The high Crusade,,,4.98,5.53,5.625333333,
42,Anderson,Poul,The Merman's Children,,,3.24,3.47,3.609,
42,Anderson,Poul,the Dancer From Atlantis,,,3.64,3.96,3.684666667,
42,Anderson,Poul,The Star Fox,,,3.64,3.64,3.719,
42,Anderson,Poul,Ensign Flandry,,,3.65,1,4.043666667,
42,Anderson,Poul,The People of the Wind,,,1,1.75,3.758,
42,Anderson,Poul,Tau Zero,,,3.59,1.36,5.821333333,
42,Anderson,Poul,Ensign Flandry,,,3.65,1,4.043666667,
42,Anderson,Poul,The Night Face,,,4.08,4.09,4.701333333,
42,Anderson,Poul,The Broken Sword,,,4.9,4.9,6.274666667,
42,Anderson,Poul,Brain Wave,,,4.51,4.97,4.685333333,
42,Anderson,Poul,The Unicorn Trade,,,3.5,5.95,12.68466667,
42,Anderson,Poul,A Circus of Hells,,,4.94,3.95,6.517333333,
42,Anderson,Poul,Mirkheim,,,4.09,4.46,3.311333333,
S4,Anderson,Poul,Conan,,The Rebel,1,1,3.989666667,
43,Anderson,William C.,Penelope,,,5.67,8,24.55068966,
43,Anobile,Richard J.,Star Trek II: The Wrath of Khan,,,4.05,4.05,10.38666667,
43,Antonio,San,The Strangler,,,13.99,12,16.78833333,
43,Antonio,San,Crooks' Hill,,,13.99,,13.99,
43,Antonio,San,The Hatchet Man,,,8,10.74,10.24666667,
43,Antonio,San,The Strangler,,,13.99,12,16.78833333,
43,Antonio,San,Tough Justice,,,18,49,36.61333333,
43,Antonio,San,Tough Justice,,,18,49,36.61333333,
43,Anvil,Christopher,Pandora'S Planet,,,4.93,2.5,41.88433333,
43,Anvil,Christopher,Pandora'S Planet,,,4.93,2.5,41.88433333,
43,Anvil,Christopher,Warlord'S World,,,1,4.14,5.786,
43,Anvil,Christopher,Strangers In Paradise,,,3.59,3.59,7.210666667,
43,Appel,Benjamin,The Death Master,,,6.7,3,5.868888889,
43,Appleton II,Tom,Tom Swift,2,And The City of Gold,,,,No Result
43,Appleton II,Tom,Tom Swift,1,In The Jungle of the Mayas,,,,No Result
43,Appleton II,Victor,Tom Swift And His Rocket Ship,,,3.64,3.64,8.310666667,
43,Archer,Frank,The Turquoise Spike,,,1,1,5.579,
43,Arnam,Dave Van,Lord Of Blood,,,4.09,4.09,4.707333333,
43,Arnam,Dave Van,Wizard Of Storms,,,1.03,1.99,5.694666667,
43,Arnam,Dave Van,Starmind,,,1,4.09,3.762,
43,Arnam,Dave Van,Starmind,,,1,4.09,3.762,
43,Arnold,Edwin L.,Gulliver Of Mars,,,4.97,5.62,6.783333333,
43,Arnold,Edwin L.,Gulliver Of Mars,,,4.97,5.62,6.783333333,
43,Arrow,William,Return To The Planet Of The Apes 2,,,19.55,66.93,58.33916667,
43,Ashby,Richard,Act Of God,,,3,3,9.846666667,
43,Ashby,Richard,Act Of God,,,3,3,9.846666667,
43,Asprin,Robert Lynn,Another Fine Myth,,,4,7,24.958,
43,Asprin,Robert Lynn,The Bug Wars,,,2.5,12.95,14.65714286,
43,Asprin,Robert Lynn,Tales From The Vulgar Unicorn,,,4,4.95,30.433,
42,Atlee,Philip,The Death Bird Contract,,,4,6,14.5475,
42,Atlee,Philip,The Fer-De-Lance Contract,,,2.29,3.95,19.94428571,
42,Atlee,Philip,The Skeleton Coast Contract,,,4.09,4.62,26.87111111,
42,Atlee,Philip,The Paper Pistol Contract,,,4.09,4.14,7.565,
42,Atlee,Philip,The Black Venus Contract,,,1,5.99,8.139285714,
42,Atlee,Philip,The Star Ruby Contract,,,1.95,6.34,17.458,
42,Atlee,Philip,The Ill Wind Contract,,,1.88,1.98,20.51714286,
42,Atlee,Philip,The Silken Baroness Contract,,,4.05,4.84,8.225555556,
42,Atlee,Philip,The Green Wound Contract,,,2.29,5.95,24.61777778,
42,Atlee,Philip,The Rockabye Contract,,,2,5.89,18.68416667,
42,Atlee,Philip,The Death Bird Contract,,,4,6,14.5475,
42,Atlee,Philip,The Death Bird Contract,,,4,6,14.5475,
42,Atlee,Philip,The Judah Lion Contract,,,4.49,1.88,9.694347826,
42,Atlee,Philip,The White Wolverine Contract,,,1,3.95,9.028846154,
42,Atlee,Philip,The Irish Beauty Contract,,,4.36,4.95,10.02178571,
42,Atlee,Philip,The Irish Beauty Contract,,,4.36,4.95,10.02178571,
42,Atlee,Philip,The Kiwi Contract,,,1,1.45,12.734,
42,Atlee,Philip,The Underground Cities Contract,,,4,5,25.83473684,
42,Atlee,Philip,The Last Domino Contract,,,3.95,3.74,45.80533333,
42,Atlee,Philip,The Fer-De-Lance Contract,,,2.29,3.95,19.94428571,
42,Atlee,Philip,The Shankill Road Contract,,,4.74,4.79,8.549545455,
42,Atlee,Philip,The Black Venus Contract,,,1,5.99,8.139285714,
42,Atlee,Philip,The Kowloon Contract,,,1,1.99,9.7112,
42,Atlee,Philip,The Spice Route Contract,,,6.29,3.95,7.202857143,
42,Atlee,Philip,The Judah Lion Contract,,,4.49,1.88,9.694347826,
42,Atlee,Philip,The Spice Route Contract,,,6.29,3.95,7.202857143,
42,Atlee,Philip,The Spice Route Contract,,,6.29,3.95,7.202857143,
42,Atlee,Philip,The Skeleton Coast Contract,,,4.09,4.62,26.87111111,
42,Atlee,Philip,The Canadian Bomber Contract,,,1.5,1.5,13.94214286,
43,Avallone,Michael,The Satan Sleuth,3,"Devil, Devil",1,7,61.695,
43,Avallone,Michael,The Satan Sleuth,1,Fallen Angel,44.39,67.02,59.67222222,
43,Avallone,Michael,Hawaii Five-O,,,3,4,22.8226087,
43,Avallone,Michael,The Satan Sleuth,2,The Werewolf Walks Tonight,83.04,83.07,65.41,
43,Avallone,Michael,Hawaii Five-O,,Terror in the Sun,7.19,7.36,10.92375,
43,Avallone,Michael,Beneath The Planet Of The Apes,,,2.95,4,23.29233333,
S4,Avallone,Michael,The Girl From U.N.C.L.E.,1,,7.97,81.05,16.17466667,
S4,Avallone,Michael,The Girl From U.N.C.L.E.,2,The Blazing Affair,9.99,7,14.764,
S4,Avallone,Michael,The Man From U.N.C.L.E.,1,,1,1,5.177,
S4,Avallone,Michael,The Man From U.N.C.L.E.,1,,1,1,5.177,
S4,Avallone,Michael,The Man From U.N.C.L.E.,1,,1,1,5.177,
43,Avery,Richard,The Expendables - Zelos,,,1.5,3.79,5.723333333,
43,Aylesworth,John,"Fee, Fei, Fo, Fum",,,1,2.35,6.441,
40,Bagley,Desmond,The Snow Tiger,,,4.49,4.49,3.816333333,
40,Bahnson Jr.,Agnew H.,The Stars are too High,,,5.08,1,20.42285714,
40,Baker,W. Howard,Departure Deferred,,,4.95,5,9.8945,
40,Balchin,Nigel,Kings of Infinite Space,,,1.55,1,6.114,
40,Baldwin,Faith,The Heart Remembers,,,5.97,1.99,8.859,
40,Baldwin,Faith,"Rich Girl, Poor Girl",,,7.38,4,48.08933333,
41,Ball,Brian N.,Timepiece,,,1.75,3.5,6.048666667,
41,Ball,Brian N.,Planet Probability,,,1,1.45,11.605,
41,Ball,Brian N.,The Probability Man,,,1.13,2,6.657333333,
41,Ball,Brian N.,Timepivot,,,3.98,3.5,9.183846154,
41,Ball,Brian N.,Timepivot,,,3.98,3.5,9.183846154,
41,Ball,Brian N.,Sundog,,,12,15,8.1375,
41,Ball,Brian N.,Sundog,,,12,15,8.1375,
41,Ball,Brian N.,Timepiece,,,1.75,3.5,6.048666667,
41,Ball,Brian N.,Singularity Station,,,3.49,3.49,5.391333333,
41,Ball,Brian N.,Singularity Station,,,3.49,3.49,5.391333333,
41,Ball,Brian N.,The Regiments of Night,,,4.05,4.09,4.510333333,
40,Ballard,J.G.,The Crystal World,,,11.4,20.85,62.27133333,
40,Ballard,J.G.,The Wind From Nowhere,,,15,16,46.009,
40,Ballard,J.G.,The Terminal Beach,,,3.07,5,78.738,
40,Ballard,J.G.,The Day of Forever,,,5.88,16.48,49.87366667,
40,Ballard,J.G.,The Impossible Man,,,3,3,20.44766667,
40,Ballard,J.G.,The Downed World,,,,,,No Result
40,Ballard,J.G.,The Downed World,,,,,,No Result
40,Ballard,J.G.,Billenium,,,5,5,33.285,
40,Ballard,J.G.,Chronopolis,,,200,8,52.30733333,
40,Ballard,J.G.,Chronopolis,,,200,8,52.30733333,
40,Bamber,George,The Sea IS Boiling Hot,,,4.1,4.14,13.189,
40,Banister,Manly,Conquest of Earth,,,3.59,4.14,3.236,
41,Barbet,Pierre,Games Psyborgs Play,,,1,1,14.40166667,
41,Barbet,Pierre,Baphomet's Meteor,,,3,4,20.449,
41,Barbet,Pierre,The Napoleons of Eridanus,,,3.64,3.64,4.663333333,
41,Barbet,Pierre,The Napoleons of Eridanus,,,3.64,3.64,4.663333333,
41,Barbet,Pierre,The Napoleons of Eridanus,,,3.64,3.64,4.663333333,
41,Barbet,Pierre,The Joan-Of-Arc Replay,,,4.05,1.26,12.04766667,
41,Barbet,Pierre,The Enchanted Planet,,,4.05,4.05,4.557333333,
41,Barbet,Pierre,The Joan-Of-Arc Replay,,,4.05,1.26,12.04766667,
41,Barbet,Pierre,The Joan-Of-Arc Replay,,,4.05,1.26,12.04766667,
40,Baring-Gould,W.S.,Sherlock Holmes of Baker Street,,,16,29.99,19.88555556,
41,Baring-Gould,W.S.,Sherlock Holmes of Baker Street,,,16,29.99,19.88555556,
40,Barker,M.A.R.,The Man of Gold,,,1.36,1.36,28.26590909,
40,Barnes,Arthur K.,Interplanetary Hunter,,,5.78,6.2,21.28633333,
40,Barnwell,William,The Sigma Curve,,,3,3,15.801,
40,Barr,Donald,Space Relations,,,3.59,1,6.555333333,
40,Barr,Donald,Space Relations,,,3.59,1,6.555333333,
41,Barrett,Neal,"Aldair, Master of Ships",,,4.96,1.97,14.75931034,
41,Barrett,Neal,Stress Pattern,,,3.49,3.59,7.872333333,
41,Barrett,Neal,Aldair in Albion,,,6.47,3,15.21428571,
41,Barrett,Neal,Stress Pattern,,,3.49,3.59,7.872333333,
41,Barrett,Neal,The Leaves of Time,,,6.7,7.14,10.65625,
41,Barrett,Neal,Aldair: The Legion of Beasts,,,4.49,4.51,20.19176471,
40,Barrett,William E.,The Fools of Time,,,4.14,4.18,7.447,
40,Barrett Jr.,Neal,Kelwin,,,3.95,2.96,10.2925,
41,Barry,Mike,The Lone Wolf,1,Night Raider,10.69,18.39,44.33384615,
41,Barry,Mike,The Lone Wolf,2,Bay Prowler,10.69,18.39,30.13384615,
41,Barry,Mike,The Lone Wolf,3,Boston Avenger,10.69,18.39,25.20727273,
41,Barry,Mike,The Lone Wolf,4,Desert Stalker,5,10.69,21.15333333,
41,Barry,Mike,The Lone Wolf,5,Havana Hit,10.69,18.39,9.935555556,
